Time,Input,Output
0.858,14.6494,14.1961
0.859,14.8006,14.2734
0.86,14.96,14.3578
0.861,15.1253,14.4563
0.862,15.2942,14.5617
0.863,15.4644,14.6883
0.864,15.6336,14.8359
0.865,15.7996,14.9906
0.866,15.9601,15.1523
0.867,16.1129,15.3211
0.868,16.2559,15.4969
0.869,16.3871,15.6727
0.87,16.5046,15.8414
0.871,16.6067,16.0031
0.872,16.6918,16.1508
0.873,16.7584,16.2914
0.874,16.8052,16.4109
0.875,16.8312,16.5094
0.876,16.8355,16.6008
0.877,16.8173,16.6711
0.878,16.7763,16.7203
0.879,16.7121,16.7555
0.88,16.6248,16.7695
0.881,16.5144,16.7555
0.882,16.3813,16.7203
0.883,16.2262,16.6641
0.884,16.0498,16.5938
0.885,15.8531,16.5094
0.886,15.6373,16.3969
0.887,15.4037,16.2633
0.888,15.1538,16.1086
0.889,14.8894,15.9539
0.89,14.6122,15.7359
0.891,14.3241,15.5109
0.892,14.0272,15.2719
0.893,13.7235,15.0188
0.894,13.4153,14.7445
0.895,13.1047,14.4563
0.896,12.794,14.1539
0.897,12.4854,13.8445
0.898,12.1812,13.5281
0.899,11.8836,13.2117
0.9,11.5947,12.8953
0.901,11.3166,12.5859
0.902,11.0513,12.2906
0.903,10.8006,11.9953
0.904,10.5664,11.707
0.905,10.3502,11.4258
0.906,10.1535,11.1586
0.907,9.9776,10.8984
0.908,9.82364,10.6523
0.909,9.69253,10.5047
0.91,9.58502,10.2094
0.911,9.50164,10.0195
0.912,9.44274,9.85078
0.913,9.40843,9.71016
0.914,9.39864,9.60469
0.915,9.41307,9.52031
0.916,9.45125,9.46406
0.917,9.51247,9.43594
0.918,9.59585,9.42891
0.919,9.70033,9.45
0.92,9.82466,9.48516
0.921,9.96744,9.53438
0.922,10.1271,9.60469
0.923,10.302,9.68906
0.924,10.4903,9.7875
0.925,10.69,9.90703
0.926,10.8992,10.0477
0.927,11.1158,10.2094
0.928,11.3377,10.3852
0.929,11.5628,10.568
0.93,11.7888,10.7648
0.931,12.0136,10.9758
0.932,12.235,11.1867
0.933,12.4511,11.4047
0.934,12.6597,11.6367
0.935,12.8589,11.8688
0.936,13.0469,12.1008
0.937,13.222,12.3258
0.938,13.3825,12.5438
0.939,13.5271,12.7477
0.94,13.6543,12.9375
0.941,13.7631,13.1203
0.942,13.8526,13.282
0.943,13.9219,13.4297
0.944,13.9706,13.5703
0.945,13.9981,13.6828
0.946,14.0044,13.7812
0.947,13.9896,13.8445
0.948,13.9537,13.9008
0.949,13.8973,13.9359
0.95,13.8209,13.95
0.951,13.7254,13.9359
0.952,13.6118,13.9008
0.953,13.4813,13.8516
0.954,13.3351,13.7883
0.955,13.1747,13.7109
0.956,13.0018,13.6195
0.957,12.8181,13.5141
0.958,12.6254,13.3945
0.959,12.4256,13.2469
0.96,12.2208,13.0922
0.961,12.013,12.9164
0.962,11.8043,12.7266
0.963,11.5968,12.5297
0.964,11.3926,12.3258
0.965,11.1938,12.1219
0.966,11.0024,11.9109
0.967,10.8204,11.7
0.968,10.6498,11.4961
0.969,10.4923,11.2922
