Time,Input,Output
0.654,6.23189,7.51573
0.655,6.26501,7.74088
0.656,6.30235,7.51573
0.657,6.3434,7.48944
0.658,6.38758,7.48944
0.659,6.43433,7.47631
0.66,6.48302,7.39775
0.661,6.53302,7.47631
0.662,6.58372,7.39775
0.663,6.63445,7.17722
0.664,6.68458,7.16434
0.665,6.73347,6.92164
0.666,6.7805,6.88366
0.667,6.82506,6.84578
0.668,6.86656,6.45984
0.669,6.90444,6.45984
0.67,6.93819,6.45984
0.671,6.96731,6.52141
0.672,6.99135,6.44756
0.673,7.00991,6.48444
0.674,7.02264,6.28884
0.675,7.02924,6.15591
0.676,7.02945,6.34967
0.677,7.02309,6.41077
0.678,7.01002,6.41077
0.679,6.99016,6.36187
0.68,6.96351,6.02426
0.681,6.9301,6.2767
0.682,6.89004,6.19204
0.683,6.84348,6.2767
0.684,6.79065,6.19204
0.685,6.73181,6.10789
0.686,6.66729,6.0481
0.687,6.59746,6.0481
0.688,6.52273,6.08394
0.689,6.44356,6.13188
0.69,6.36046,6.13188
0.691,6.27394,6.11988
0.692,6.18456,6.11988
0.693,6.09291,6.11988
0.694,5.99959,6.28884
0.695,5.90519,6.06004
0.696,5.81035,6.15591
0.697,5.71568,6.15591
0.698,5.6218,6.15591
0.699,5.52932,6.06004
0.7,5.43883,6.06004
0.701,5.35089,6.14389
0.702,5.26607,6.14389
0.703,5.18487,6.14389
0.704,5.1078,6.17999
0.705,5.03528,6.37408
0.706,4.96772,6.17999
0.707,4.90549,6.44756
0.708,4.8489,6.48444
0.709,4.7982,6.2767
0.71,4.7536,6.2767
0.711,4.71525,6.7327
0.712,4.68324,6.7327
0.713,4.65762,6.47213
0.714,4.63836,6.47213
0.715,4.62538,6.47213
0.716,4.61855,6.62046
0.717,4.61768,6.42302
0.718,4.62254,6.37408
0.719,4.63283,6.16794
0.72,4.64821,6.16794
0.721,4.6683,6.39853
0.722,4.69266,6.00045
0.723,4.72085,5.78812
0.724,4.75235,5.66003
0.725,4.78665,5.54468
0.726,4.8232,5.54468
0.727,4.86142,5.56766
0.728,4.90073,5.56766
0.729,4.94055,5.5332
0.73,4.98027,5.5332
0.731,5.0193,5.40764
0.732,5.05706,5.37361
0.733,5.09298,5.17144
0.734,5.12648,5.17144
0.735,5.15705,5.23845
0.736,5.18416,5.23845
0.737,5.20735,5.35098
0.738,5.22617,5.17144
0.739,5.24022,4.95077
0.74,5.24914,4.95077
0.741,5.25262,4.95077
0.742,5.25039,4.93985
0.743,5.24224,4.98361
0.744,5.22801,4.92894
0.745,5.20759,4.92894
0.746,5.18092,4.91804
0.747,5.14801,4.82038
0.748,5.10892,4.82038
0.749,5.06376,4.82038
0.75,5.0127,4.93985
0.751,4.95594,5.09373
0.752,4.89377,5.00555
0.753,4.82649,5.00555
0.754,4.75446,5.00555
0.755,4.67809,4.91804
0.756,4.5978,4.91804
0.757,4.51408,4.75575
0.758,4.42741,4.78802
0.759,4.33833,4.7665
0.76,4.24738,4.7665
0.761,4.15513,4.75575
0.762,4.06213,4.75575
0.763,3.96898,4.62762
0.764,3.87624,4.62762
0.765,3.78448,4.7988
0.766,3.69428,4.7988
0.767,3.60616,4.75575
0.768,3.52067,4.74502
0.769,3.4383,4.75575
0.77,3.35953,4.63824
0.771,3.28479,4.7665
0.772,3.21449,4.63824
0.773,3.149,4.7665
0.774,3.08864,4.83119
0.775,3.03367,4.6915
0.776,2.98433,4.6915
0.777,2.94078,4.85284
0.778,2.90317,4.85284
0.779,2.87155,4.46957
0.78,2.84594,4.46957
0.781,2.82632,4.65951
0.782,2.81259,4.65951
0.783,2.80461,4.45912
0.784,2.80219,4.45912
0.785,2.8051,4.65951
0.786,2.81304,4.65951
0.787,2.8257,4.19101
0.788,2.84269,4.12003
0.789,2.86362,4.10993
0.79,2.88804,4.12003
0.791,2.91548,3.99955
0.792,2.94544,4.12003
0.793,2.97741,3.87073
0.794,3.01086,3.72428
0.795,3.04523,3.72428
0.796,3.07999,3.72428
0.797,3.11456,3.59927
0.798,3.14841,3.58019
0.799,3.181,3.58019
0.8,3.21178,3.58019
0.801,3.24026,3.60882
0.802,3.26593,3.60882
0.803,3.28835,3.44782
0.804,3.30706,3.43845
0.805,3.32169,3.37311
0.806,3.33185,3.336
0.807,3.33725,3.336
0.808,3.33759,3.336
0.809,3.33265,3.31751
0.81,3.32224,3.29906
0.811,3.30624,3.16202
0.812,3.28456,3.03624
0.813,3.25717,3.03624
0.814,3.22409,3.0899
0.815,3.18539,3.0899
0.816,3.14119,3.12588
0.817,3.09167,3.02734
0.818,3.03705,3.12588
0.819,2.97758,3.03624
0.82,2.91358,3.18924
0.821,2.8454,3.18924
0.822,2.77342,3.06302
0.823,2.69806,3.01844
0.824,2.61977,3.01844
0.825,2.53902,2.92128
0.826,2.45632,3.05409
0.827,2.37218,2.92128
0.828,2.28712,2.91251
0.829,2.20168,2.91251
0.83,2.1164,2.95647
0.831,2.03181,2.95647
0.832,1.94845,2.95647
0.833,1.86683,2.96529
0.834,1.78746,2.92128
0.835,1.71083,2.92128
0.836,1.6374,2.92128
0.837,1.56758,2.92128
0.838,1.5018,2.92128
0.839,1.44041,2.81674
0.84,1.38373,2.81674
0.841,1.33206,2.83406
0.842,1.28563,2.86882
0.843,1.24463,2.75644
0.844,1.20923,2.75644
0.845,1.17951,2.6712
0.846,1.15552,2.81674
0.847,1.13727,2.6712
0.848,1.1247,2.62897
0.849,1.11772,2.62897
0.85,1.11618,2.73076
0.851,1.11988,2.73076
0.852,1.12859,2.57864
0.853,1.14203,2.57864
0.854,1.15988,2.71369
0.855,1.18177,2.67968
0.856,1.20732,2.43809
0.857,1.23611,2.30055
0.858,1.26768,2.30055
0.859,1.30157,2.30055
0.86,1.33728,2.11928
0.861,1.37433,2.3246
0.862,1.41218,2.22896
0.863,1.45033,2.22896
0.864,1.48826,2.15041
0.865,1.52546,2.15041
0.866,1.56143,2.15041
0.867,1.59567,2.09604
0.868,1.62772,2.11928
0.869,1.65713,2.08832
0.87,1.68347,2.08832
0.871,1.70635,2.08832
0.872,1.72541,2.04219
0.873,1.74033,1.92852
0.874,1.75083,1.89115
0.875,1.75665,1.88371
0.876,1.75761,1.80986
0.877,1.75354,1.80986
0.878,1.74435,1.95107
0.879,1.72997,1.69388
0.88,1.71038,1.88371
0.881,1.68564,1.86145
0.882,1.65582,1.88371
0.883,1.62106,1.86145
0.884,1.58152,1.87628
